site;management;DBH (cm);hollow;DBHclass
VOJK;pollard;91;1;4
VOJK;pollard;51;1;2
VOJK;pollard;65;1;3
VOJK;pollard;61;1;3
VOJK;pollard;66;1;3
VOJK;pollard;65;1;3
VOJK;pollard;41;1;2
VOJK;pollard;66;1;3
VOJK;pollard;47;1;2
VOJK;pollard;52;1;2
VOJK;pollard;57;1;2
VOJK;pollard;58;1;2
VOJK;pollard;53;1;2
VOJK;pollard;57;1;2
VOJK;pollard;54;1;2
VOJK;pollard;44;1;2
VOJK;pollard;74;1;3
VOJK;pollard;52;1;2
VOJK;pollard;69;1;3
VOJK;pollard;48;1;2
VOJK;pollard;51;1;2
VOJK;pollard;47;1;2
VOJK;pollard;77;1;3
VOJK;pollard;48;1;2
VOJK;pollard;72;1;3
VOJK;pollard;58;1;2
VOJK;pollard;62;1;3
VOJK;pollard;30;1;1
VOJK;pollard;53;1;2
VOJK;pollard;90;1;4
VOJK;pollard;71;1;3
VOJK;pollard;50;1;2
VOJK;pollard;86;1;3
VOJK;pollard;51;1;2
VOJK;pollard;59;1;2
VOJK;pollard;54;1;2
VOJK;pollard;86;1;3
VOJK;pollard;51;1;2
VOJK;pollard;61;1;3
VOJK;pollard;88;1;3
VOJK;pollard;68;1;3
VOJK;pollard;68;1;3
VOJK;pollard;77;1;3
VOJK;pollard;55;1;2
VOJK;pollard;64;1;3
VOJK;pollard;68;1;3
VOJK;pollard;106;1;4
VOJK;pollard;112;1;4
VOJK;pollard;44;1;2
VOJK;pollard;68;1;3
VOJK;pollard;61;1;3
VOJK;pollard;67;1;3
VOJK;pollard;75;1;3
VOJK;pollard;63;1;3
VOJK;pollard;96;1;4
VOJK;pollard;68;1;3
VOJK;pollard;56;1;2
VOJK;pollard;72;1;3
VOJK;pollard;57;1;2
VOJK;pollard;55;1;2
VOJK;pollard;62;1;3
VOJK;pollard;64;1;3
VOJK;pollard;69;1;3
VOJK;pollard;32;1;2
VOJK;pollard;80;1;3
VOJK;pollard;77;1;3
VOJK;pollard;103;1;4
VOJK;pollard;90;1;3
VOJK;pollard;173;1;6
KANCI;unman;53;0;2
KANCI;unman;38;0;2
KANCI;unman;60;0;2
KANCI;unman;57;0;2
KANCI;unman;39;0;2
KANCI;unman;52;1;2
KANCI;unman;54;1;2
KANCI;unman;61;0;3
KANCI;unman;40;1;2
KANCI;unman;38;0;2
KANCI;unman;37;1;2
KANCI;unman;53;0;2
KANCI;unman;62;0;3
KANCI;unman;41;0;2
KANCI;unman;39;0;2
KANCI;unman;37;0;2
KANCI;unman;52;1;2
KANCI;unman;36;0;2
KANCI;unman;105;1;4
KANCI;unman;58;1;2
KANCI;unman;42;1;2
